student_number,student_id,rdm_condition,condition_assignment,initial_school_id,initial_teacher_id,initial_teacher_class,initial_section_number,final_school_id,final_teacher_id,final_teacher_class,final_section_number,courseName,movement,KEEP,student_raceEthnicityFed,student_hispanicEthnicity,FEMALE,MALE,LevelTested,ScaleScore,PerformanceLevel,EIP,EL_PARENT_DENIED,ESOL_C,ESOL_FORMER,ESOL,GIFTED,IEP,IST,LEPM1,LEPM2,LEPM3,LEPM4,SECTION504,SST,IN5,AbsentDays5,PresentDays5,UnexcusedDays5,MOBILE5,G5SCHOOL,G5SCHOOL2,G5SCHOOL3,MEMBERSHIPDAYS5,ADM5,ADA5,Absencesavg.Daily5,PercentInAttendance5,IN6,AbsentDays6,PresentDays6,UnexcusedDays6,MOBILE6,G6SCHOOL,G6SCHOOL2,G6SCHOOL3,MEMBERSHIPDAYS6,ADM6,ADA6,Absencesavg.Daily6,PercentInAttendance6,userID,xref,o_total_multimedia_tasks,o_total_multiple_choice_tasks,o_total_goal_state_tasks,o_total_canvas_tasks,o_total_line_it_up_tasks,o_total_hot_spot_tasks,o_game_best_step,o_completed_best_step,o_worlds_attempted,o_worlds_cleared,o_worlds_completed,o_avg_time_session,o_avg_problem_session,o_avg_completion_session,o_seen,o_tried,o_num_visit,o_total_autogradable,o_distinct_completed,o_percentage_completed,o_total_completed,o_total_finished,o_total_correct,o_first_completed,o_percent_first_completed,o_total_goback,o_avg_gobacks,o_percent_gobacks,o_distinct_reset,o_total_reset,o_avg_resets,o_percentage_reset,o_num_attempts,o_avg_attempts,o_percent_attempts_completed,o_use_hint,o_percentage_hint,o_clover_highest,o_avg_clover_highest,o_clover_first,o_avg_clover_first,o_clover_last,o_avg_clover_last,o_time_interaction,o_time_interaction_in_min,o_avg_time_problem_in_min,o_avg_time_per_step,o_time_first,o_avg_time_first,o_avg_time_interaction_first,o_avg_time_interaction_first_percent,o_time_last,o_avg_time_last,o_avg_time_interaction_last,o_avg_time_interaction_last_percent,o_interaction_step_first,o_percent_interaction_step_first,o_interaction_step_last,o_percent_interaction_step_last,o_user_total_step,o_user_step_first,o_avg_first_efficiency,o_avg_first_more_step,o_user_last_step,o_avg_last_efficiency,o_avg_last_more_step,o_error,o_percent_error,o_total_error,o_avg_total_error,o_first_error,o_avg_first_error,o_last_error,o_avg_last_error,o_keypad_error,o_first_keypad_error,o_last_keypad_error,o_shaking_error,o_first_shaking_error,o_last_shaking_error,o_snapping_error,o_first_snapping_error,o_last_snapping_error
123181,F7S0501-303,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,1,0,Grade 5,573,Proficient Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,10,169,3,2,SILVER CITY,CUMMING,,179,1,0.94,0.02,94.41,1,3.6,174.4,0,1,NFMS,,,178,1,0.98,0,97.98,2875,5a22d780-cf6b-0138-7c16-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,720,12.00,11.00,11.00,1430827.94,30.38,27,209.00,209.00,274.00,252.00,208.00,0.83,243.00,208.00,208.00,155.00,0.75,21.00,N/A,0.1,55.00,134.00,0.64,0.26,420.00,2.01,0.58,17.00,0.08,586.00,2.8,431.00,2.06,586.00,2.8,12877455.50,214.62,1.03,8936.47,6051977.50,28956.83,8979.93,0.39,5051477.00,24285.95,6288.14,0.33,174.00,0.83,177.00,0.85,1441.00,0.00,0.95,0.28,769.00,0.96,0.24,87.00,0.42,336.00,1.61,154.00,0.74,110.00,0.53,61.00,37.00,20.00,151.00,68.00,56.00,124.00,49.00,34.00
119769,F7S0501-215,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,1,0,Grade 5,568,Proficient Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,14,165,6,1,SILVER CITY,,,179,1,0.92,0.03,92.18,1,3.13,174.87,2.15,1,NFMS,,,178,1,0.98,0.01,98.24,2795,560767f0-cf6b-0138-7bf6-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,257,7.00,6.00,4.00,1431219.06,17,13.22,104.00,104.00,140.00,252.00,102.00,0.40,119.00,102.00,102.00,79.00,0.77,16.00,N/A,0.16,23.00,72.00,0.69,0.22,221.00,2.13,0.54,8.00,0.08,275.00,2.64,214.00,2.06,275.00,2.64,13067407.00,217.79,2.09,19709.51,3663662.50,35227.52,10610.45,0.43,3279328.00,32150.27,11623.45,0.38,76.00,0.73,80.00,0.78,663.00,0.00,0.9,0.43,312.00,0.9,0.54,49.00,0.47,324.00,3.12,187.00,1.8,94.00,0.92,73.00,45.00,37.00,119.00,74.00,17.00,131.00,67.00,40.00
112914,F7S0501-104,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-4,15,Mathematics,INPERSON,1,6,N,1,0,Grade 5,635,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,5,174,3,1,COAL MTN,,,179,1,0.97,0.02,97.21,1,3.91,174.09,0.7,1,NFMS,,,178,1,0.98,0,97.8,2953,4ecd17d0-cf6b-0138-7bba-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,694,13.00,12.00,4.00,1577017.78,23,23,208.00,206.00,226.00,252.00,202.00,0.80,207.00,202.00,202.00,144.00,0.71,5.00,N/A,0.02,60.00,123.00,0.59,0.29,354.00,1.7,0.58,18.00,0.09,531.00,2.55,395.00,1.9,531.00,2.55,14193164.00,236.55,1.14,10951.52,8077485.00,39211.09,15963.47,0.49,7405012.00,36658.48,12915.21,0.39,153.00,0.74,159.00,0.79,1296.00,0.00,0.93,0.42,822.00,0.91,0.63,89.00,0.43,447.00,2.15,238.00,1.14,204.00,1.01,30.00,26.00,17.00,213.00,106.00,77.00,204.00,106.00,110.00
120747,F7S0501-225,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,0,1,Grade 5,600,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,11,168,3,1,COAL MTN,,,179,1,0.94,0.02,93.85,1,10.28,167.72,4.96,1,NFMS,,,178,1,0.94,0.03,94.22,2955,584a8900-cf6b-0138-7c08-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,339,8.00,7.00,4.00,1231352.94,14.56,14.56,127.00,127.00,142.00,252.00,125.00,0.50,131.00,125.00,125.00,94.00,0.75,6.00,N/A,0.05,31.00,72.00,0.57,0.24,219.00,1.72,0.6,9.00,0.07,348.00,2.74,266.00,2.09,348.00,2.74,11082180.00,184.70,1.45,16715.2,5788970.00,45582.44,22089.08,0.52,5428247.00,43425.98,18049.95,0.43,89.00,0.7,98.00,0.78,663.00,0.00,0.97,0.19,391.00,0.95,0.42,68.00,0.54,309.00,2.43,175.00,1.38,141.00,1.13,77.00,67.00,33.00,117.00,43.00,48.00,115.00,65.00,60.00
121082,F7S0501-226,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,1,0,Grade 5,566,Proficient Learner,0,0,0,0,0,1,0,0,0,0,,,0,0,1,11,168,4,1,COAL MTN,,,179,1,0.94,0.02,93.85,1,4.41,173.59,1.41,1,NFMS,,,178,1,0.98,0.01,97.52,2952,58821520-cf6b-0138-7c0a-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,460,9.00,8.00,6.00,1525607.11,24.5,21.78,148.00,147.00,227.00,252.00,145.00,0.58,196.00,145.00,145.00,104.00,0.72,26.00,N/A,0.18,48.00,123.00,0.83,0.32,360.00,2.43,0.54,27.00,0.18,380.00,2.57,276.00,1.86,380.00,2.57,13430467.50,223.84,1.51,10608.58,4783146.00,32538.41,12658.02,0.44,3717283.00,25636.43,8377.7,0.36,116.00,0.79,118.00,0.81,1266.00,0.00,0.89,0.5,566.00,0.89,0.73,75.00,0.51,520.00,3.51,187.00,1.26,144.00,0.99,55.00,31.00,27.00,232.00,89.00,59.00,229.00,66.00,58.00
123998,F7S0501-306,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-4,15,Mathematics,INPERSON,1,6,N,0,1,Grade 5,654,Distinguished Learner,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,179,0,1,SILVER CITY,,,179,1,1,0,100,1,7.17,170.83,3.53,1,NFMS,,,178,1,0.96,0.02,95.97,2794,5ae2aa00-cf6b-0138-7c1b-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,784,14.00,13.00,9.00,1481181.28,37.5,33.33,226.00,225.00,336.00,252.00,222.00,0.88,300.00,222.00,222.00,165.00,0.74,39.00,N/A,0.18,66.00,204.00,0.9,0.29,551.00,2.44,0.54,16.00,0.07,643.00,2.85,473.00,2.09,637.00,2.82,13330634.50,222.18,0.98,6675.33,5743306.00,25525.8,8068.16,0.4,4872447.00,21947.96,6277.22,0.34,180.00,0.8,187.00,0.84,1997.00,0.00,0.97,0.18,822.00,0.98,0.17,94.00,0.42,492.00,2.18,167.00,0.74,87.00,0.39,66.00,24.00,10.00,255.00,77.00,37.00,170.00,65.00,40.00
115756,F7S0501-109,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,0,1,Grade 5,578,Proficient Learner,0,0,0,0,0,1,0,0,0,0,,,0,0,1,0,179,0,1,SILVER CITY,,,179,1,1,0,100,1,2.06,175.94,0,1,NFMS,,,178,1,0.99,0,98.84,2951,4fec71d0-cf6b-0138-7bc4-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,495,11.00,10.00,1.00,1240037,19.63,17.44,159.00,157.00,176.00,252.00,156.00,0.62,157.00,156.00,156.00,125.00,0.8,1.00,N/A,0.01,30.00,81.00,0.51,0.19,263.00,1.65,0.6,29.00,0.18,387.00,2.43,319.00,2.01,387.00,2.43,11160337.00,186.01,1.17,10909.42,4825762.00,30737.34,8940.62,0.38,4556794.00,29210.22,9586.85,0.36,122.00,0.78,129.00,0.83,1023.00,0.00,0.89,0.7,663.00,0.86,1.08,87.00,0.55,453.00,2.85,248.00,1.56,192.00,1.23,40.00,29.00,17.00,236.00,134.00,97.00,176.00,85.00,78.00
120405,F7S0501-223,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,1,0,Grade 5,579,Proficient Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,2,177,1,1,COAL MTN,,,179,1,0.99,0.01,98.88,1,0.25,177.75,0,1,NFMS,,,178,1,1,0,99.86,2950,57d6dcb1-cf6b-0138-7c04-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,303,8.00,7.00,2.00,1427748.56,14.88,14.88,116.00,115.00,135.00,252.00,113.00,0.45,119.00,113.00,113.00,84.00,0.74,6.00,N/A,0.05,30.00,57.00,0.49,0.26,196.00,1.69,0.61,37.00,0.32,308.00,2.66,234.00,2.02,304.00,2.62,11421991.50,190.37,1.64,20881.15,5500503.50,47830.47,29789.36,0.57,4509131.00,39903.81,16811.63,0.46,87.00,0.76,89.00,0.79,547.00,0.00,0.93,0.23,344.00,0.91,0.36,52.00,0.45,267.00,2.3,126.00,1.09,94.00,0.83,78.00,51.00,31.00,102.00,31.00,30.00,85.00,43.00,33.00
116399,F7S0501-110,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S05,F7T0501,F7T0501-2,16,Mathematics,INPERSON,1,6,N,1,0,Grade 5,531,Proficient Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,9,170,5,1,SILVER CITY,,,179,1,0.95,0.03,94.97,1,6.29,171.71,3.34,1,NFMS,,,178,1,0.96,0.02,96.47,2972,5023d6f0-cf6b-0138-7bc6-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,331,8.00,7.00,5.00,1175675.72,23,20.44,126.00,126.00,229.00,252.00,124.00,0.49,184.00,124.00,124.00,90.00,0.73,40.00,N/A,0.32,38.00,129.00,1.02,0.30,374.00,2.97,0.49,17.00,0.13,359.00,2.85,252.00,2,356.00,2.83,9981085.50,166.35,1.32,10258.05,3264702.00,25910.33,11872.75,0.5,2566057.00,20694.01,7883.14,0.42,92.00,0.73,91.00,0.73,973.00,0.00,0.93,0.3,349.00,0.97,0.15,67.00,0.53,348.00,2.76,128.00,1.02,88.00,0.71,72.00,31.00,19.00,146.00,48.00,28.00,130.00,49.00,41.00
123657,F7S0501-305,FH2T,FH2T,S05,F7T0501,F7T0501-2,16,S11,F7T1117,F7T1117-1,1,Mathematics - Virtual,INPERSON_VIRTUAL,1,6,N,1,0,Grade 5,591,Distinguished Learner,0,0,0,0,0,0,0,0,0,0,,,0,0,1,13,166,1,1,COAL MTN,,,179,1,0.93,0.01,92.74,1,4.43,173.57,1.64,1,NFMS,,,178,1,0.98,0.01,97.51,2796,5a95e7a1-cf6b-0138-7c19-0cfcc1c8a682,0.00,0.00,252.00,0.00,0.00,0.00,974.00,340,9.00,8.00,1.00,1638498.38,29.75,29.75,118.00,118.00,124.00,252.00,117.00,0.46,119.00,117.00,117.00,97.00,0.83,2.00,N/A,0.02,19.00,34.00,0.29,0.16,166.00,1.41,0.72,7.00,0.06,321.00,2.72,269.00,2.28,321.00,2.72,6553995.00,109.23,0.93,13003.96,4552432.00,38579.93,19509.68,0.54,4299617.00,36748.86,16341.67,0.47,104.00,0.88,103.00,0.88,504.00,0.00,0.94,0.29,380.00,0.93,0.34,35.00,0.30,94.00,0.8,56.00,0.47,51.00,0.44,39.00,26.00,18.00,23.00,14.00,12.00,32.00,16.00,21.00
